,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy
0,170.0,1,1.0,1,4,1,1,3.0,1.0,1.0,2.0,1,100.0,100.0,1.0,30.0,1,2
1,99.0,1,2.0,1,17,2,2,2.0,1.0,1.0,1.0,1,0.0,10.0,1.0,5.0,0,1
2,65.0,1,10.0,1,7,1,2,2.0,4.0,1.0,1.0,1,200.0,50.0,32.0,60.0,0,1
3,65.0,1,10.0,1,7,1,2,2.0,4.0,1.0,1.0,1,200.0,50.0,32.0,90.0,0,1
4,475.0,0,2.0,1,4,2,1,4.0,1.5,2.0,2.0,1,0.0,225.0,4.0,1125.0,0,2
5,139.0,1,2.0,1,1,1,2,3.0,1.0,1.0,2.0,1,0.0,50.0,1.0,14.0,1,1
6,135.0,1,1.0,1,11,2,2,2.0,1.0,1.0,1.0,1,0.0,50.0,1.0,365.0,0,1
7,120.0,0,0.0,1,9,1,1,2.0,1.0,0.0,1.0,1,500.0,75.0,30.0,180.0,0,2
8,177.0,0,48.0,1,7,1,1,3.0,1.0,3.0,3.0,1,2500.0,208.0,30.0,1125.0,0,1
9,194.0,0,48.0,1,4,1,1,5.0,2.0,3.0,3.0,1,3000.0,208.0,30.0,1125.0,0,1
10,139.0,0,48.0,1,3,1,1,2.0,1.5,1.0,1.0,1,2500.0,130.0,30.0,365.0,0,1
11,85.0,1,10.0,1,7,1,2,2.0,4.0,1.0,2.0,1,200.0,50.0,32.0,60.0,0,1
12,85.0,1,10.0,1,7,1,2,2.0,3.0,1.0,2.0,1,200.0,50.0,32.0,90.0,0,1
13,79.0,1,1.0,1,5,1,2,1.0,1.0,1.0,1.0,1,0.0,10.0,3.0,27.0,1,1
14,166.0,1,1.0,1,17,2,1,3.0,1.0,2.0,3.0,1,899.0,279.0,30.0,367.0,0,1
15,450.0,0,4.0,1,2,1,1,4.0,2.0,2.0,2.0,1,5000.0,250.0,30.0,365.0,0,1
16,110.0,1,3.0,1,4,2,2,2.0,1.0,1.0,1.0,1,130.0,30.0,2.0,29.0,0,1
17,125.0,1,1.0,1,9,1,1,2.0,1.0,1.0,1.0,1,500.0,100.0,30.0,30.0,0,2
18,65.0,1,10.0,1,7,1,2,2.0,4.0,1.0,1.0,1,200.0,50.0,32.0,90.0,0,1
19,98.0,1,2.0,1,6,1,2,1.0,0.5,1.0,1.0,1,500.0,30.0,3.0,29.0,1,1
20,155.0,1,1.0,1,5,2,1,2.0,1.0,1.0,1.0,1,200.0,60.0,3.0,14.0,0,1
21,180.0,1,1.0,1,8,1,1,3.0,2.0,1.0,2.0,1,250.0,80.0,3.0,28.0,0,2
22,155.0,1,2.0,1,11,1,2,2.0,1.0,1.0,1.0,1,500.0,80.0,2.0,29.0,0,1
23,195.0,1,3.0,1,4,1,1,4.0,1.0,1.0,1.0,1,0.0,20.0,5.0,31.0,1,2
24,150.0,1,1.0,1,8,2,2,2.0,1.0,1.0,1.0,1,0.0,25.0,5.0,28.0,0,2
25,110.0,1,3.0,1,4,2,2,2.0,1.0,1.0,1.0,1,150.0,30.0,3.0,29.0,0,1
26,125.0,1,1.0,1,11,2,2,3.0,1.0,0.0,1.0,1,300.0,50.0,4.0,180.0,0,2
27,110.0,1,3.0,1,4,2,2,2.0,1.5,1.0,1.0,1,500.0,40.0,2.0,364.0,0,1
28,450.0,0,2.0,1,4,1,1,10.0,2.0,4.0,7.0,1,500.0,160.0,2.0,30.0,1,1
29,125.0,0,1.0,1,5,1,1,2.0,1.0,1.0,1.0,1,3000.0,125.0,30.0,1125.0,0,2
30,199.0,1,2.0,1,1,1,2,4.0,1.0,1.0,2.0,1,0.0,75.0,1.0,29.0,1,1
31,220.0,1,3.0,1,6,2,1,4.0,2.0,2.0,2.0,1,100.0,140.0,4.0,70.0,0,1
32,155.0,1,1.0,1,21,1,1,4.0,1.0,1.0,2.0,1,0.0,0.0,2.0,30.0,0,3
33,150.0,0,1.0,1,6,1,1,2.0,1.0,1.0,2.0,1,200.0,0.0,30.0,30.0,0,1
34,107.0,0,35.0,1,8,1,1,2.0,1.0,1.0,1.0,1,0.0,155.0,30.0,1125.0,0,4
35,94.0,0,2.0,1,6,1,1,2.0,1.0,0.0,1.0,1,500.0,65.0,60.0,730.0,0,2
36,67.0,0,1.0,1,32,1,2,1.0,1.0,1.0,1.0,1,0.0,35.0,30.0,100.0,0,2
37,159.0,0,4.0,1,5,2,1,3.0,1.0,1.0,1.0,1,150.0,120.0,4.0,29.0,0,3
38,125.0,1,1.0,1,6,2,2,2.0,2.0,1.0,1.0,1,0.0,50.0,3.0,30.0,0,2
39,290.0,1,0.0,1,1,1,1,4.0,1.0,2.0,2.0,1,5000.0,120.0,30.0,365.0,0,2
40,170.0,0,1.0,1,9,1,1,3.0,1.0,1.0,1.0,1,500.0,0.0,30.0,730.0,1,1
