,id,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy,price_level
0,958.0,1,90.0,1,1.0,1,4,94117.0,37.76931,-122.43386000000001,1,1,3.0,1.0,1.0,2.0,1,170.0,100.0,100.0,1.0,30.0,199.0,1,2,"(36.9, 264.8]"
1,3850.0,1,100.0,1,2.0,1,17,94131.0,37.754020000000004,-122.45805,2,2,2.0,1.0,1.0,1.0,1,99.0,0.0,10.0,1.0,5.0,136.0,0,1,"(36.9, 264.8]"
2,7918.0,1,100.0,1,10.0,1,7,94117.0,37.766690000000004,-122.4525,1,2,2.0,4.0,1.0,1.0,1,65.0,200.0,50.0,32.0,60.0,17.0,0,1,"(36.9, 264.8]"
3,8142.0,1,100.0,1,10.0,1,7,94117.0,37.76487,-122.45183,1,2,2.0,4.0,1.0,1.0,1,65.0,200.0,50.0,32.0,90.0,8.0,0,1,"(36.9, 264.8]"
4,8339.0,2,100.0,0,2.0,1,4,94117.0,37.77525,-122.43637,2,1,4.0,1.5,2.0,2.0,1,475.0,0.0,225.0,4.0,1125.0,28.0,0,2,"(264.8, 491.6]"
5,8739.0,1,100.0,1,2.0,1,1,94110.0,37.759190000000004,-122.42237,1,2,3.0,1.0,1.0,2.0,1,139.0,0.0,50.0,1.0,14.0,687.0,1,1,"(36.9, 264.8]"
6,9225.0,1,100.0,1,1.0,1,11,94107.0,37.76259,-122.40543000000001,2,2,2.0,1.0,1.0,1.0,1,135.0,0.0,50.0,1.0,365.0,492.0,0,1,"(36.9, 264.8]"
7,10578.0,nothing,0.0,0,0.0,1,9,94109.0,37.79143,-122.41543999999999,1,1,2.0,1.0,0.0,1.0,1,120.0,500.0,75.0,30.0,180.0,18.0,0,2,"(36.9, 264.8]"
8,10820.0,2,100.0,0,48.0,1,7,94117.0,37.77187,-122.43858999999999,1,1,3.0,1.0,3.0,3.0,1,177.0,2500.0,208.0,30.0,1125.0,37.0,0,1,"(36.9, 264.8]"
9,10824.0,2,100.0,0,48.0,1,4,94102.0,37.77355,-122.42436000000001,1,1,5.0,2.0,3.0,3.0,1,194.0,3000.0,208.0,30.0,1125.0,14.0,0,1,"(36.9, 264.8]"
10,10832.0,2,100.0,0,48.0,1,3,94102.0,37.785740000000004,-122.40798000000001,1,1,2.0,1.5,1.0,1.0,1,139.0,2500.0,130.0,30.0,365.0,19.0,0,1,"(36.9, 264.8]"
11,12041.0,1,100.0,1,10.0,1,7,94117.0,37.77019,-122.44594,1,2,2.0,4.0,1.0,2.0,1,85.0,200.0,50.0,32.0,60.0,6.0,0,1,"(36.9, 264.8]"
12,12042.0,1,100.0,1,10.0,1,7,94117.0,37.76894,-122.44778000000001,1,2,2.0,3.0,1.0,2.0,1,85.0,200.0,50.0,32.0,90.0,5.0,0,1,"(36.9, 264.8]"
13,12522.0,1,100.0,1,1.0,1,5,94114.0,37.76075,-122.43032,1,2,1.0,1.0,1.0,1.0,1,79.0,0.0,10.0,3.0,27.0,408.0,1,1,"(36.9, 264.8]"
14,12584.0,3,100.0,1,1.0,1,17,94117.0,37.762029999999996,-122.45455,2,1,3.0,1.0,2.0,3.0,1,166.0,899.0,279.0,30.0,367.0,16.0,0,1,"(36.9, 264.8]"
